"編號",附議時間,居住縣市,鄉鎮市區,附議人匿稱,附議原因
No.1,2018-01-11 00:37:16,桃園市,大園區,豪,
No.2,2018-01-11 01:38:33,臺北市,信義區,Angela,
No.3,2018-01-11 07:09:07,彰化縣,芳苑鄉,台灣政府剝奪,
No.4,2018-01-11 08:29:56,臺中市,南區,M,
No.5,2018-01-11 09:43:34,臺北市,信義區,民主退步,以達雙邊警惕作用
No.6,2018-01-11 10:56:35,臺中市,沙鹿區,雯雯,
No.7,2018-01-11 12:57:34,高雄市,仁武區,"Mak mak ",
No.8,2018-01-11 16:15:12,新北市,中和區,rick,
No.9,2018-01-11 22:05:56,臺中市,西屯區,風,
No.10,2018-01-11 22:14:13,臺北市,內湖區,Pop,
No.11,2018-01-12 10:29:27,臺北市,內湖區,Ting,支持
No.12,2018-01-12 10:36:37,屏東縣,琉球鄉,皮勒挫,
No.13,2018-01-12 11:01:03,新北市,新莊區,llucas,
No.14,2018-01-12 11:01:20,臺北市,信義區,DT,
No.15,2018-01-12 15:45:19,高雄市,大寮區,蔡菜,
No.16,2018-01-12 17:50:23,臺北市,萬華區,Alextsai,
No.17,2018-01-12 22:50:22,臺北市,北投區,LIN ROBERT,
No.18,2018-01-13 14:27:33,新竹縣,竹東鎮,Kent,
No.19,2018-01-14 16:05:07,臺中市,西區,Ciao,處以重罰10年以上有期徒刑，收賄者的罪則應加重期徒刑。
No.20,2018-01-14 21:14:06,桃園市,龜山區,雯Wen,
No.21,2018-01-14 23:25:57,彰化縣,北斗鎮,drfgytrhiuk,
No.22,2018-01-15 00:54:28,新北市,泰山區,"Wolf ",
No.23,2018-01-15 08:45:05,新北市,板橋區,Devin,
No.24,2018-01-15 14:32:06,新北市,新莊區,kizema104,
No.25,2018-01-15 19:31:27,新北市,鶯歌區,playgamenow,這個方法達成了應該很有效果www
No.26,2018-01-15 20:04:47,臺南市,東區,Lib,
No.27,2018-01-15 22:41:27,臺南市,東區,jokerlol,
No.28,2018-01-16 12:29:50,桃園市,八德區,Jason,
No.29,2018-01-17 22:05:56,臺南市,安南區,霖,嚴刑峻法，只有對犯罪者可以使用。
No.30,2018-01-18 11:13:06,桃園市,平鎮區,錯了就要改,
No.31,2018-01-18 18:51:41,高雄市,左營區,boyao,
No.32,2018-01-18 21:44:01,桃園市,桃園區,Susu,
No.33,2018-01-18 23:50:09,嘉義縣,太保市,"KunKun ",
No.34,2018-01-19 13:56:52,高雄市,阿蓮區,阿貴,支持
No.35,2018-01-19 18:27:44,臺中市,南區,Ｈ,
No.36,2018-01-19 18:41:09,新北市,三重區,河童,
No.37,2018-01-20 13:08:47,基隆市,七堵區,張先生,
No.38,2018-01-20 14:38:07,臺北市,信義區,angelsky777,
No.39,2018-01-20 15:01:24,新北市,三重區,Vagabond,
No.40,2018-01-21 20:07:43,臺中市,大里區,瓢蟲,
No.41,2018-01-29 08:36:18,彰化縣,二水鄉,夜語花兒,
No.42,2018-01-29 14:53:38,臺北市,大安區,Amber,同意

