"編號",附議時間,居住縣市,鄉鎮市區,附議人匿稱,附議原因
No.1,2017-10-13 01:44:23,新北市,板橋區,vincent,
No.2,2017-10-15 00:50:39,彰化縣,和美鎮,"May ",
No.3,2017-10-15 18:03:15,桃園市,中壢區,Yu Cheng,
No.4,2017-10-16 19:08:29,花蓮縣,花蓮市,小盧,
No.5,2017-10-19 17:41:14,屏東縣,潮州鎮,熊熊Bear,
No.6,2017-10-19 19:48:05,花蓮縣,花蓮市,Suan,
No.7,2017-10-19 20:59:50,高雄市,阿蓮區,駿雄,
No.8,2017-10-19 22:03:39,臺北市,內湖區,Yuchi,
No.9,2017-10-19 22:12:47,臺中市,豐原區,呵呵,
No.10,2017-10-19 22:40:06,臺中市,梧棲區,鮪魚,
No.11,2017-10-20 20:37:59,屏東縣,潮州鎮,又七,
No.12,2017-10-22 09:16:30,高雄市,三民區,野田つよし,
No.13,2017-10-22 17:24:40,新竹市,北區,燁,
No.14,2017-10-22 22:51:04,新北市,三重區,Lin,更方便
No.15,2017-10-23 09:43:23,屏東縣,新園鄉,Ling,
No.16,2017-10-23 12:12:09,新北市,新店區,萬,"看過一些反對的想法
但我只能說
三寶即是三寶 沒有年齡差距 老人騎在路中央的比比皆是
應該加強的是用路人的觀念 即 考駕照時的觀念 而不是年齡問題

國小國中都有校區限制 但是高中沒有 有些人被迫離家有距離的地方 機車是一個很好的考量

再往鄉下 山上 的地方看 未成年騎車的到處都是 別說你們看不見

再來 到了中南部 地大 一個點到一個點走路未必方便 很多人也選擇騎車 (當然是指未成年

如果能夠讓他們考駕照 給予他們正確的觀念 是不是能夠減少更多的損害"
No.17,2017-10-23 12:53:59,新北市,新店區,自行車王子,
No.18,2017-10-23 18:07:17,屏東縣,萬巒鄉,魯國國相,
No.19,2017-10-23 20:25:32,彰化縣,和美鎮,"XUE ",
No.20,2017-10-23 22:07:07,臺中市,豐原區,錒羿,同意 應有限度地開放
No.21,2017-10-24 22:40:48,臺中市,龍井區,Jim,
No.22,2017-10-25 02:45:02,桃園市,平鎮區,小狗,
No.23,2017-10-25 21:22:55,雲林縣,西螺鎮,Supreme921,期實有一些國高中生就已經對於騎機車駕輕就熟了，但是有礙於法律，許多可以自主上下學的人都須要有家長撥出時間載小孩上下課
No.24,2017-10-26 00:42:12,高雄市,楠梓區,阿洋,高中生無照騎車的一大堆，為什麼不開放讓他們去考照呢？這樣至少能讓他們早點接觸行車的相關規定，再來對其他的用路人也比較有保障
No.25,2017-11-05 23:39:22,桃園市,桃園區,美格,
No.26,2017-11-06 20:06:20,臺南市,北區,堯,
No.27,2017-11-06 22:24:58,臺南市,七股區,G🌹,因為有些學校有產學攜手專班而要提早入學，但生日若是在七月或八月的貨沒有駕照要去哪裡都很不方便
No.28,2017-11-09 20:57:59,新北市,平溪區,YuRou,
No.29,2017-11-11 21:27:21,新竹市,東區,友,
No.30,2017-11-18 20:06:43,雲林縣,斗六市,pallastz,
No.31,2017-11-20 11:25:34,臺中市,北屯區,Neal,

