"編號",附議時間,居住縣市,鄉鎮市區,附議人匿稱,附議原因
No.1,2017-04-29 21:49:59,高雄市,仁武區,yesj,"請參考多數人想法，最好是全民投票或辦理公聽會！
(連學生服儀都能以民主方式辦理公聽會，為何此決議如此粗糙處理)"
No.2,2017-04-29 23:23:06,金門縣,金湖鎮,coolerwu,別害怕公正的教官在學校中矯正迷失的孩子，別害怕公正的教官調教思想方向錯誤的孩子。
No.3,2017-04-30 21:49:17,臺中市,清水區,Sonia,
No.4,2017-04-30 23:09:12,新竹縣,新豐鄉,Mr.S,"教官與校狗都應該留在學校為防治毒品作出重大貢獻,也請支持""取消台灣本島長途電話費"",""建立立體交通網徹底解決交通問題"",""教育改革應從建立大數據庫&學分制度著手"""
No.5,2017-05-01 14:09:55,基隆市,信義區,贊成,
No.6,2017-05-01 15:40:04,臺中市,北屯區,芽,
No.7,2017-05-03 12:21:13,臺北市,士林區,哈哈哈,
No.8,2017-05-04 19:33:08,臺南市,學甲區,雪の下 雪乃,沒有教官會使學校失去原有的秩序。
No.9,2017-05-04 22:58:24,新北市,板橋區,Chen,
No.10,2017-05-05 09:39:09,高雄市,前鎮區,鍋鍋,
No.11,2017-05-06 18:30:10,臺北市,內湖區,ｆｉｃｅｆｉｓｈ,
No.12,2017-05-09 00:28:11,臺東縣,臺東市,TANG,
