"編號",附議時間,居住縣市,鄉鎮市區,附議人匿稱,附議原因
No.1,2017-08-01 03:50:53,雲林縣,斗六市,過路人一號,
No.2,2017-08-01 08:12:02,臺北市,南港區,Megumi,支持！
No.3,2017-08-01 09:52:48,屏東縣,屏東市,毛毛鬼,個人行為本來就該個人負擔，更何況出遊本來就該自我做好規劃，天氣有礙卻仍執意出遊，受災本該自付
No.4,2017-08-01 13:28:48,臺中市,西區,"Milton ",
No.5,2017-08-01 13:59:44,新北市,永和區,MAY,
No.6,2017-08-01 15:59:05,臺北市,中正區,pp,
No.7,2017-08-01 16:25:49,臺北市,信義區,penny,同意，以免浪費國家資源，也造成救難人員的危險
No.8,2017-08-01 16:52:02,新竹縣,湖口鄉,狼飄,"救災人員的費用需要提高~~不能按照一般的費用
同時
將危害分級
什麼樣等級的危害是什麼費用


因為救災人員也是冒著生命危險去救災"
No.9,2017-08-01 19:01:52,臺北市,士林區,jcalee,
No.10,2017-08-01 20:06:35,新北市,板橋區,節省國家稅金,
