"編號",附議時間,居住縣市,鄉鎮市區,附議人匿稱,附議原因
No.1,2017-08-01 03:50:53,雲林縣,斗六市,過路人一號,
No.2,2017-08-01 08:12:02,臺北市,南港區,Megumi,支持！
No.3,2017-08-01 09:52:48,屏東縣,屏東市,毛毛鬼,個人行為本來就該個人負擔，更何況出遊本來就該自我做好規劃，天氣有礙卻仍執意出遊，受災本該自付
No.4,2017-08-01 13:28:48,臺中市,西區,"Milton ",
No.5,2017-08-01 13:59:44,新北市,永和區,MAY,
No.6,2017-08-01 15:59:05,臺北市,中正區,pp,
No.7,2017-08-01 16:25:49,臺北市,信義區,penny,同意，以免浪費國家資源，也造成救難人員的危險
No.8,2017-08-01 16:52:02,新竹縣,湖口鄉,狼飄,"救災人員的費用需要提高~~不能按照一般的費用
同時
將危害分級
什麼樣等級的危害是什麼費用


因為救災人員也是冒著生命危險去救災"
No.9,2017-08-01 19:01:52,臺北市,士林區,jcalee,
No.10,2017-08-01 20:06:35,新北市,板橋區,節省國家稅金,
No.11,2017-08-01 21:09:30,臺中市,西區,Lizzy,
No.12,2017-08-01 22:24:49,新竹縣,竹東鎮,ZL,
No.13,2017-08-01 22:45:13,臺北市,內湖區,ken,
No.14,2017-08-01 23:13:52,桃園市,八德區,偉,
No.15,2017-08-01 23:22:44,新北市,淡水區,黃蓉蓉,
No.16,2017-08-01 23:44:53,桃園市,平鎮區,Arthur,good
No.17,2017-08-02 00:30:08,新北市,汐止區,Goldie,
No.18,2017-08-02 01:54:42,新北市,板橋區,秋草,
No.19,2017-08-02 09:35:08,臺北市,中山區,leoun,自己找死憑甚麼全民付錢
No.20,2017-08-02 14:47:57,新北市,汐止區,Swan,
No.21,2017-08-02 16:05:48,屏東縣,恆春鎮,阿忠,
No.22,2017-08-02 21:35:57,桃園市,龜山區,無,
No.23,2017-08-02 23:17:48,桃園市,平鎮區,娓娓,"投資理財都知道有賺有賠了 出去玩就不知道危險麼

我也是個喜歡戶外運動上山下海的人  我尊重每個人的決定 但請自己負起責任 不要讓別人幫你買單"
No.24,2017-08-02 23:49:28,新竹市,東區,柚子,
No.25,2017-08-03 01:14:17,新北市,永和區,Char,
No.26,2017-08-03 02:39:39,臺南市,將軍區,愛與希望,
No.27,2017-08-03 10:53:56,臺中市,北區,林詠傑,
No.28,2017-08-03 11:53:29,臺北市,松山區,YUYU,
No.29,2017-08-03 12:51:48,臺中市,南屯區," tiffany",
No.30,2017-08-03 13:29:22,新竹市,北區,wu,
No.31,2017-08-03 17:21:26,高雄市,茂林區,洪澤恩,
No.32,2017-08-03 22:09:19,臺中市,北屯區,嵐,
No.33,2017-08-04 08:57:34,宜蘭縣,宜蘭市,art1991,
No.34,2017-08-04 10:44:10,臺北市,大安區,沐,
No.35,2017-08-04 13:43:26,臺中市,潭子區,Rod,
No.36,2017-08-04 15:03:42,高雄市,鳥松區,月,
No.37,2017-08-04 16:15:21,新北市,鶯歌區,周賢德,"本人非常同意此提案
能有效喝止不聽勸之民眾"
No.38,2017-08-04 16:20:53,臺南市,東區,浩敏,
No.39,2017-08-04 20:34:13,彰化縣,員林鎮,嗯嗯,
No.40,2017-08-04 20:58:35,桃園市,中壢區,渡亞,
