"編號",附議時間,居住縣市,鄉鎮市區,附議人匿稱,附議原因
No.1,2017-12-26 01:58:30,臺中市,西屯區,humphrey0925,
No.2,2017-12-26 06:42:55,彰化縣,彰化市,布偶草綠,Gino叔叔和楚宣阿姨賺那麼多錢都不敢結婚生小孩了，何況是普通老百姓
No.3,2017-12-26 08:28:06,花蓮縣,花蓮市,Yi,
No.4,2017-12-26 10:57:36,桃園市,桃園區,小苑,
No.5,2017-12-26 12:20:44,新北市,永和區,giefeefee,
No.6,2017-12-26 12:51:13,高雄市,鳳山區,阿呆,系統性執行
No.7,2017-12-26 18:03:13,臺中市,南區,Hudeneil,勞資雙方的地位在大部分的情況下都是不對等的，要必有增加資方的刑責來嚇阻對勞工不正當的勞動行為
No.8,2017-12-26 19:19:43,臺北市,中山區,LoboWang,"弱勢家庭少相關訊息，對自身權益，可能無法爭取。
同時，公司利用權力不對等，逼使員工簽不合理條約。
勞資會議，易為老闆把持，不一定能為勞工發聲，保障工作權。
為免任老闆壓榨，當然要嚴罰違法事項。"
No.9,2017-12-26 20:55:48,臺南市,仁德區,台糖小四,具有實質嚇阻力
No.10,2017-12-26 21:43:52,新北市,泰山區,A Zhong,
No.11,2017-12-26 22:45:06,高雄市,岡山區,阿旻,
No.12,2017-12-27 00:49:43,新北市,三重區,謝口苗,
No.13,2017-12-27 01:48:38,新竹縣,竹北市,阿杰,
No.14,2017-12-27 09:47:37,新北市,板橋區,菇,
No.15,2017-12-27 10:19:34,桃園市,中壢區,承恩,
No.16,2017-12-27 12:01:32,新北市,新店區,jp,"進入開發中國家必備條件之一""守法""。舉例:入職教育做了嗎?職工是否瞭解?資料是否齊全?是否能被查驗?這些都沒有做到，發生工安與事故，難到不用被關嗎?
崗前培訓
2.1工作時間：
2.2主要工作：向新進培訓人員講授消防安全、公司的文化、規章制度、福利制度等相關基本知識，主要課程有《消防安全與自救知識》、《醫療急救措施》、《公司文化與品質政策》、《員工手冊》、《勞動合同法相關知識》、《社會保險基本知識》、《ESH基本知識》、《MSDS物質安全數據表》、《SA8000基礎知識》、《5S基本知識》、《斷針利器管理》、《危險工種注意事項》、《PPE個人防護措施》、《宿舍管理條例》等課程培訓。
2.3注意事項：準確、清晰的闡述相關知識，切勿模棱兩可。
3、培訓考試及《勞動合同》和《簽到表》的簽核
3.1工作時間：16：00—17：00
3.2主要工作：崗前培訓完成後，安排培訓結業考試，並監督考試順利的進行，考試結束後，閱卷，同時對於考試合格人員，安排《勞動合同》、《簽到表》的簽核，最後通知各車間人事帶考試合格的新進培訓人員到車間報到，並交接新進培訓人員的人事資料、《勞動合同》和《簽到表》。"
No.17,2017-12-27 13:44:56,臺中市,沙鹿區,Replicant,
No.18,2017-12-27 14:19:56,桃園市,八德區,Kevin,
No.19,2017-12-27 14:56:37,新北市,新莊區,Gavin,"勞基惡法通過，勞檢有必要加強及加重處罰，尤其是自願超時加班單不得作為法庭依據。
自願超時加班單應由勞動部統一發行，一張3000元/人，期效21天，所得可作為基金以補償受害勞工損失。"
No.20,2017-12-27 16:20:40,臺南市,永康區,小人物,
No.21,2017-12-27 16:44:51,臺北市,內湖區,Louise huang,支持重罰被勞檢單位
No.22,2017-12-27 18:40:08,桃園市,桃園區,JianHung,
No.23,2017-12-27 20:40:59,新北市,新莊區,Coco,
No.24,2017-12-27 22:49:04,臺中市,南屯區,Benson,
No.25,2017-12-27 23:10:53,桃園市,平鎮區,baby,
No.26,2017-12-28 00:06:46,新北市,永和區,瑄,
No.27,2017-12-28 13:01:38,新北市,三重區,Mars,
No.28,2017-12-28 21:27:12,新北市,淡水區,kiko260,
No.29,2017-12-29 11:30:04,屏東縣,屏東市,星,
No.30,2017-12-29 20:52:29,臺中市,西屯區,風揚,贊成！
No.31,2017-12-29 21:34:50,彰化縣,竹塘鄉,支持,
