"編號",附議時間,居住縣市,鄉鎮市區,附議人匿稱,附議原因
No.1,2018-03-21 20:03:28,臺中市,南屯區,附議人,
No.2,2018-03-21 20:14:39,臺北市,內湖區,柏柏,
No.3,2018-03-21 20:29:06,新竹市,東區,Yang,"考試才是最公平的
在校成績好能代表什麼？
而且繁星這套制度根本被私立學校玩爛了"
No.4,2018-03-21 20:53:12,桃園市,八德區,Dream,當選大學校系變成只是在拼排名的話，那真的沒意義，考生可能把全部志願都填上，最後可能卻上了根本不了解的科系，導致念的很痛苦，建議連高職繁星也廢一廢，反正高職繁星名額如此少，就只是再跟幫助原本成績就不錯的人再上更好的學校，對於其他成績相對沒那麼好的學生來說，根本拼搏不贏。
No.5,2018-03-21 21:29:44,嘉義市,東區,皖丸,
No.6,2018-03-21 22:56:21,高雄市,仁武區,宇,
No.7,2018-03-21 23:54:03,臺南市,仁德區,草班,
No.8,2018-03-22 02:19:39,屏東縣,屏東市,泉泉,
No.9,2018-03-22 07:17:09,臺中市,北屯區,Sonne,
No.10,2018-03-22 09:25:45,臺北市,內湖區,Vtvrcscsctvyvfvdvtvdcecevagtbimomo,
No.11,2018-03-22 09:29:06,新竹縣,竹北市,Wayne,
No.12,2018-03-22 10:41:24,新北市,新莊區,"yyy603 ",
No.13,2018-03-22 15:47:41,新北市,新店區,Alex,
No.14,2018-03-22 16:05:40,新北市,三峽區,J,
No.15,2018-03-22 16:28:13,宜蘭縣,羅東鎮,Kkk,本校有學生平時小考作弊，排名到他班繁星第一名
No.16,2018-03-22 16:37:24,高雄市,鼓山區,阿文,繁星應該注重再真的教育資源匱乏的區域，很多大城市中心裡的高中也可以使用，根本是本末倒置！
No.17,2018-03-22 17:01:14,臺中市,太平區,彪,
No.18,2018-03-22 17:35:56,高雄市,苓雅區,Alinana,
No.19,2018-03-22 19:13:20,屏東縣,屏東市,幹幹,
No.20,2018-03-22 19:14:33,臺中市,大里區,ivy,
No.21,2018-03-22 19:15:45,臺中市,大雅區,"Alice ",
No.22,2018-03-22 19:56:43,新北市,板橋區,Andy,
No.23,2018-03-22 19:59:36,臺北市,文山區,木木,"繁星只會讓笨蛋去台大當笨蛋
順便炫耀自己讀爛高中10級分還可以上台大
但是聰明努力的人失去一個機會
然後台灣就會愈來愈多笨蛋"
No.24,2018-03-22 20:11:57,臺北市,士林區,重考生,
No.25,2018-03-22 20:18:56,高雄市,苓雅區,Crystal,
No.26,2018-03-22 21:22:43,桃園市,桃園區,yyy777,垃圾制度
No.27,2018-03-22 21:28:07,花蓮縣,秀林鄉,微笑,靠繁星沒用的東西上榜，讓落榜的人如何面對，一堆爛學校高中都可以升級到台大，太誇張
No.28,2018-03-22 21:53:23,臺南市,歸仁區,O,
No.29,2018-03-22 22:21:57,澎湖縣,馬公市,魚寶,繁星制度確實不好
No.30,2018-03-22 22:38:55,新北市,新莊區,Peggy,
No.31,2018-03-22 23:54:24,高雄市,茄萣區,YIITING,
No.32,2018-03-23 00:02:25,臺北市,文山區,emily,我認為繁星計畫的目的是為了給教育資源較缺乏的偏鄉學童接受良好教育資源，如今卻變了調，讓成績中下學校的學生不必在學測拿高分即可進入前面名次的大學，但這些人之中有許多並未擁有在前面名次的大學良好學習的能力，導致在學業上跟得很吃力或壓力很大，同時，這也造成了一個漏洞：許多人選擇在高中時到比自己程度差很多的高中，以繁星的方式進入前面學校，這些人搶走了本該屬於偏鄉學童的繁星名額，也造成了計畫並未達到最初目的的結果。由以上論點，我支持廢除/修改繁星計畫，例如將繁星名額限縮到偏鄉地區，讓真正有需要的偏鄉學童真正受益。
No.33,2018-03-23 00:24:59,臺北市,北投區,大一新生,繁星計畫 本意為幫助偏鄉地區也有機會上好學校 但是後來變成臺北市一個充滿資源的地方 也可以使用繁星計畫 這使得競爭力強的學生 會因為這個計畫 而去讀後段的高中 違反本意 加上想使用繁星計畫少部分的人 就會用盡各種手段去拿成績 不管是巴結老師 或者是討好他們 就為了學期成績高一點 而獲得提名的機會 這已經遠遠違反本意了 不如限制地區使用繁星 而不是全國各高中都可以使用
No.34,2018-03-23 00:26:38,臺北市,文山區,秋楓,
No.35,2018-03-23 00:26:39,高雄市,前金區,35,
No.36,2018-03-23 00:35:53,臺中市,北區,李承澤,"繁星真的很可笑
尤其是都市裡面的社區高中"
No.37,2018-03-23 00:44:50,臺南市,東區,彭彭,
No.38,2018-03-23 01:16:53,臺北市,北投區,Shen,
