"編號",附議時間,居住縣市,鄉鎮市區,附議人匿稱,附議原因
No.1,2017-10-30 01:20:15,新北市,中和區,GuanTing,
No.2,2017-10-30 10:02:29,新竹市,香山區,兒兒兒,
No.3,2017-10-30 13:05:41,花蓮縣,壽豐鄉,2050,
No.4,2017-10-30 13:05:46,臺北市,內湖區,督,
No.5,2017-10-30 13:05:50,雲林縣,西螺鎮,煒,
No.6,2017-10-30 13:07:19,基隆市,中山區,萁,
No.7,2017-10-30 13:10:29,新北市,林口區,scottj,
No.8,2017-10-30 13:13:49,新北市,蘆洲區,阿梁,
No.9,2017-10-30 13:15:07,基隆市,安樂區,山中聽海,帝王條款真的害死無辜用路人，在交通規劃完善、路權觀念完整的國家，行人錯在先被汽機車撞擊致傷甚至致死，不僅駕駛沒刑責，甚至路人和路人家屬還得賠償汽機車駕駛人的損失。
No.10,2017-10-30 13:15:44,屏東縣,屏東市,脆嘀舒,
No.11,2017-10-30 13:17:51,宜蘭縣,羅東鎮,熊哥,真的需要修法  改善行人喜歡任意闖紅燈穿越車道  的帝王條款
No.12,2017-10-30 13:19:35,彰化縣,溪湖鎮,TENG,
No.13,2017-10-30 13:26:18,臺中市,霧峰區,Richard,
No.14,2017-10-30 13:26:54,高雄市,楠梓區,餅乾,
No.15,2017-10-30 13:27:59,彰化縣,二林鎮,金城武,
No.16,2017-10-30 13:33:39,基隆市,安樂區,阿雄,
No.17,2017-10-30 13:37:46,臺南市,永康區,cute5846,行人違規要守法駕駛人負責不合理
No.18,2017-10-30 13:47:28,臺南市,善化區,糖糖,"為什麼要有帝王條款？
行人違規還不用負責嗎？"
No.19,2017-10-30 14:00:47,宜蘭縣,冬山鄉,阿例,
No.20,2017-10-30 14:06:51,桃園市,中壢區,大皓,"與歐美講求路權走反調
不是行人做啥事都對
一堆滑手機的
一堆圃街的"
No.21,2017-10-30 14:09:54,桃園市,平鎮區,阿芳,行人違規也必須負起應負之責任，而不是行人最大，導致行人如“虎口”的真實窘境，其突發之狀況比起“馬路”更加可怕！！~
No.22,2017-10-30 14:19:09,彰化縣,福興鄉,雪月,
No.23,2017-10-30 14:19:57,桃園市,龍潭區,陳巧巧,
No.24,2017-10-30 14:24:30,新北市,土城區,澔,
No.25,2017-10-30 14:35:28,新北市,林口區,Semo,法律應該是保護守法的人民，而不是保護不守法違反法律規範的民眾!
No.26,2017-10-30 14:39:33,嘉義縣,新港鄉,Simon,
No.27,2017-10-30 14:39:50,新北市,鶯歌區,涼麵,為何守法的人要對不理性不守法的人做出讓步？他人有父母妻小~我們就沒父沒母嗎？難怪馬路上一堆助跑哥助跑姐~全是這法規搞出來的
No.28,2017-10-30 14:40:58,臺中市,大雅區,WU,
No.29,2017-10-30 14:53:38,桃園市,中壢區,SAM,
No.30,2017-10-30 14:57:01,臺中市,西屯區,"shueilung ",
No.31,2017-10-30 14:58:06,高雄市,苓雅區,YuFeng,
