"編號",附議時間,居住縣市,鄉鎮市區,附議人匿稱,附議原因
No.1,2017-10-07 01:09:01,新北市,土城區,小馬,
No.2,2017-10-07 23:38:28,新北市,汐止區,dannysung,
No.3,2017-10-07 23:38:39,臺南市,仁德區,Yi Cheng,
No.4,2017-10-07 23:39:08,高雄市,大社區,Justin Lee,
No.5,2017-10-07 23:39:13,新竹縣,芎林鄉,張心如,
No.6,2017-10-07 23:40:01,南投縣,竹山鎮,楓雨漣,
No.7,2017-10-07 23:40:13,臺中市,南區,框框,
No.8,2017-10-07 23:40:16,高雄市,鳳山區,宸,
No.9,2017-10-07 23:40:49,彰化縣,和美鎮,小豪,
No.10,2017-10-07 23:41:06,高雄市,鳳山區,老頭,
No.11,2017-10-07 23:41:27,臺北市,萬華區,ten,
No.12,2017-10-07 23:41:32,新北市,五股區,五股阿嘉,
No.13,2017-10-07 23:42:02,臺北市,松山區,汪,
No.14,2017-10-07 23:42:03,高雄市,新興區,s22946455,非常合理
No.15,2017-10-07 23:42:05,臺中市,大肚區,馬可斯,同意
No.16,2017-10-07 23:42:10,新竹市,香山區,Grath,
No.17,2017-10-07 23:42:14,新北市,三重區,Yang,
No.18,2017-10-07 23:42:23,臺北市,士林區,Frankie,是真的阿，如果停車格斜斜的，停進去後反而難牽出來
No.19,2017-10-07 23:42:27,高雄市,鼓山區,洪瑞發,
No.20,2017-10-07 23:42:58,新北市,三重區,峰,車頭朝內到底要怎麼牽出來
No.21,2017-10-07 23:43:27,新北市,新莊區,小綠,
No.22,2017-10-07 23:43:37,苗栗縣,苗栗市,阿斬,症腐快猩猩
No.23,2017-10-07 23:43:57,新北市,新莊區,小灰,
No.24,2017-10-07 23:44:03,臺北市,信義區,頁乘,
No.25,2017-10-07 23:44:46,新北市,板橋區,黃,
No.26,2017-10-07 23:44:47,新北市,新店區,阿勝,支持此提議，確實時常難以牽車。
No.27,2017-10-07 23:44:48,桃園市,龜山區,啊暉,
No.28,2017-10-07 23:44:55,新北市,新莊區,mo,
No.29,2017-10-07 23:45:16,高雄市,前鎮區,"王Jerry ",完全支持此想法，機車也無需限制停車方向，將車牽出至路中再發動會影響其他用路人安全
No.30,2017-10-07 23:45:30,新北市,中和區,羽鳥,倒退出來不僅浪費時間、增加死角外，就沒有其他益處了
No.31,2017-10-07 23:47:01,臺中市,北屯區,Kulawa,
No.32,2017-10-07 23:47:16,新北市,中和區,阿蘇,"車頭朝外出來比較安全
台灣的馬路這麼爛
有時候停車都站的不是很穩
甚至還是斜坡
車頭朝外牽車真的比較安全
就跟汽車的倒車入庫一樣"
No.33,2017-10-07 23:48:03,新北市,汐止區,潘璽帆,
No.34,2017-10-07 23:48:29,桃園市,中壢區,"JoshP ",
No.35,2017-10-07 23:48:35,臺南市,新市區,霖,推推
No.36,2017-10-07 23:48:36,新北市,永和區,Bc,支持
No.37,2017-10-07 23:49:16,桃園市,龜山區,桜ノ雪,
No.38,2017-10-07 23:49:26,臺南市,南區,林子龍,
No.39,2017-10-07 23:49:30,高雄市,三民區,Jesse,
No.40,2017-10-07 23:49:41,臺北市,北投區,jacobites,這是一個安全的停車方式
No.41,2017-10-07 23:49:45,新北市,中和區,廖紘毅,
No.42,2017-10-07 23:50:26,新北市,板橋區,J.H,
No.43,2017-10-07 23:50:29,新北市,永和區,Ryan Weng,
No.44,2017-10-07 23:50:50,臺中市,南區,芭樂,
No.45,2017-10-07 23:51:07,臺北市,中山區,Jason Wu,
No.46,2017-10-07 23:51:47,新北市,中和區,臺北張先生,
No.47,2017-10-07 23:51:57,臺北市,士林區,doco,
No.48,2017-10-07 23:52:32,新北市,中和區,TPrider,
No.49,2017-10-07 23:52:47,新北市,新店區,Deng Meng Yu,非常支持!!不然每一次要出停車格的時候死角都很大很難完全注意道路上的車輛
No.50,2017-10-07 23:53:34,基隆市,中正區,瑋,訴求所有機車停於停車格時或路邊停車時允許車頭朝外(大型重型機車亦然)
No.51,2017-10-07 23:54:26,嘉義市,東區,柏翰,
No.52,2017-10-07 23:54:42,桃園市,龜山區,小謝,
No.53,2017-10-07 23:54:45,新北市,新莊區,Rock,
No.54,2017-10-07 23:55:01,臺南市,永康區,minermao,
No.55,2017-10-07 23:56:36,桃園市,大園區,阿修,
No.56,2017-10-07 23:57:23,臺北市,文山區,J.H,
No.57,2017-10-07 23:57:24,桃園市,大園區,林真,
No.58,2017-10-07 23:58:22,桃園市,蘆竹區,阿部,"連停車的方式都要限制人~
理由還如此可笑!"
No.59,2017-10-07 23:59:28,高雄市,美濃區,嗨嗨,
No.60,2017-10-07 23:59:47,新北市,板橋區,魯斯,不用倒車離開停車格，更能注意雙向車流，反應更快，我覺得更安全。
No.61,2017-10-08 00:00:09,桃園市,中壢區,灰,
No.62,2017-10-08 00:00:37,臺南市,永康區,陳逸軒,
No.63,2017-10-08 00:01:54,雲林縣,斗六市,江,
No.64,2017-10-08 00:02:09,臺南市,歸仁區,豬肉榮,支持
No.65,2017-10-08 00:02:16,基隆市,信義區,Yin,
No.66,2017-10-08 00:02:57,嘉義縣,六腳鄉,小馬,
No.67,2017-10-08 00:04:57,新北市,中和區,劉小明,
No.68,2017-10-08 00:05:28,桃園市,龜山區,omar,
No.69,2017-10-08 00:06:19,臺北市,內湖區,ANDREA,
No.70,2017-10-08 00:06:24,臺北市,大安區,屁孩,
