"編號",附議時間,居住縣市,鄉鎮市區,附議人匿稱,附議原因
No.1,2018-04-04 12:53:47,高雄市,路竹區,z83xo6n,
No.2,2018-04-06 12:41:23,高雄市,旗津區,K.C. Wu,"贊成！
跑行政院辦公室太遠了"
No.3,2018-04-06 13:36:40,桃園市,桃園區,Ui-Han Zhang,It is a good idea. I will stand by it.
No.4,2018-04-06 15:45:28,臺南市,歸仁區,Shin,
No.5,2018-04-06 16:03:20,新竹市,東區,揚雨,
No.6,2018-04-06 18:33:23,彰化縣,芳苑鄉,雄,"同意，不然住外縣市的還要請假專程跑一趟辦事處非常麻煩
不如跟歸鄉換身份證一起在戶政辦一辦就好"
No.7,2018-04-06 19:54:10,屏東縣,萬丹鄉,VermilionChang,"支持本提案

要特地跑到外交部辦理十分鐘左右的手續才能取得應有的權力實在太耗費資源且造成人民的不變

如果怕鄉公所的兵役課會有勾結情況
至少也多個郵遞至外交部辦理的選項"
No.8,2018-04-06 23:17:43,臺中市,豐原區,小刈包,
No.9,2018-04-07 00:15:25,宜蘭縣,宜蘭市,Charlie,
No.10,2018-04-08 18:47:50,高雄市,三民區,SIMONLIN,
No.11,2018-04-08 22:39:05,宜蘭縣,宜蘭市,平安無事,
No.12,2018-04-09 11:07:17,彰化縣,彰化市,核統,
No.13,2018-04-09 14:35:16,新北市,淡水區,james,
No.14,2018-04-09 22:15:21,桃園市,大溪區,阿杰,
No.15,2018-04-10 10:07:51,臺北市,士林區,淺藍忘憂草,"政策不應太過刁難民眾, 支持."
No.16,2018-04-13 10:24:59,南投縣,草屯鎮,丹尼爾,
No.17,2018-04-19 18:44:18,高雄市,前鎮區,kai-yuan cheng,
No.18,2018-04-23 14:04:02,高雄市,彌陀區,JingCheng,
No.19,2018-04-30 00:39:31,臺中市,清水區,阿周,非常認同，其他外縣市&偏遠地區的確不方便

