"編號",附議時間,居住縣市,鄉鎮市區,附議人匿稱,附議原因
No.1,2018-04-01 00:19:31,臺中市,東區,michaelho,博愛座是長存在個人的心中，非制式的呈現造成大家的曲解
No.2,2018-04-01 08:49:43,臺北市,萬華區,Rex,博愛座最原始的美意已經被曲解，實在無設置必要。
No.3,2018-04-01 11:40:25,臺南市,東區,LuLu,
No.4,2018-04-01 13:44:01,臺中市,清水區,JS,"已經矯枉過正了 這個社會  太多倚老賣老 亂罵人 亂糾正人 不分青紅皂白 把受傷的人也趕起來 辱罵甚至動手打人的案例 層出不窮  這個社會要的是 看到需要 了解需要 提供需要 

而不是 任何人想要 就打人 罵人 指責人"
No.5,2018-04-01 15:18:53,高雄市,鳳山區,艾路,
No.6,2018-04-01 16:44:06,新北市,新莊區,小蟑螂,
No.7,2018-04-02 08:06:11,臺北市,中山區,茄,
No.8,2018-04-02 16:14:20,桃園市,龍潭區,fiona,
No.9,2018-04-03 21:29:57,高雄市,左營區,阿搗夫,
No.10,2018-04-03 23:22:23,新北市,新店區,文爺,請立即廢除博愛座或訂罰則對坐博愛座孕婦、女性、傷病等乘客不敬者直接開罰1萬5～7萬5並禁止其搭乘捷運.
No.11,2018-04-04 00:36:30,屏東縣,屏東市,幻戀,
No.12,2018-04-04 01:19:14,花蓮縣,花蓮市,烏龜,
No.13,2018-04-04 02:51:37,臺中市,大里區,SKYK,
No.14,2018-04-05 01:37:52,南投縣,南投市,丫國,
No.15,2018-04-05 18:52:31,臺中市,南屯區,M297767,
No.16,2018-04-05 19:18:16,新北市,新莊區,饅頭,
No.17,2018-04-05 19:26:49,嘉義市,東區,CLF,我要附議
No.18,2018-04-08 22:57:38,臺中市,中區,zixuan,支持廢除博愛座，有了博愛座反而造成社會紛爭！這個問題的癥結點在我們的教育，假若現今社會沒有博愛座，難道我們平時搭乘公共運輸上有遇到老弱婦孺就不會讓座了嗎?就算一個不讓座，總是其他有良知的人會讓出座位，使不讓座的人感到羞恥，這才是我們要維持和諧的社會。
No.19,2018-04-09 15:57:25,高雄市,大社區,Jason,支持
No.20,2018-04-10 23:11:34,新北市,板橋區,Mayu,
No.21,2018-04-16 11:56:11,高雄市,楠梓區,George21023,
No.22,2018-04-18 06:50:00,苗栗縣,頭份市,emtulip,贊成. 沒必要專設博愛座
No.23,2018-04-18 13:47:01,臺北市,信義區,鹹魚,宣導博愛精神就好，特地區分博愛座有點讓坐下去人心惶惶

