"編號",附議時間,居住縣市,鄉鎮市區,附議人匿稱,附議原因
No.1,2017-06-01 10:40:46,新北市,三重區,Miles,
No.2,2017-06-01 11:29:37,新北市,三重區,Selina,
No.3,2017-06-01 11:44:39,臺北市,中山區,華仔,
No.4,2017-06-01 11:46:28,高雄市,三民區,A Hui,
No.5,2017-06-01 12:05:25,臺北市,中山區,Helen,
No.6,2017-06-01 12:06:35,新北市,汐止區,Jordano,
No.7,2017-06-01 12:06:46,新北市,板橋區,精靈,
No.8,2017-06-01 13:36:57,新北市,土城區,J,
No.9,2017-06-01 13:48:40,臺北市,北投區,Elsa,很棒的想法，我需要！
No.10,2017-06-01 13:57:57,新北市,三重區,小喵喵,"即使雙薪養孩子也不容易啊
公托抽不中，私托又貴鬆鬆
台灣育兒環境太不友善了！"
No.11,2017-06-01 21:48:09,新北市,板橋區,"123 ",
No.12,2017-06-01 22:38:23,臺北市,士林區,夢小夢,
No.13,2017-06-02 14:20:47,新竹市,北區,123456,"在台灣對幼童確實是不夠貼心照顧，
沒辦法，臺灣的政治人物選票導向，
倘若65歲以上老人沒有選票，
想必，長照或區域照顧勢必連影都看不到吧!"
No.14,2017-06-02 14:37:06,臺北市,中山區,3寶媽咪,政府不斷的在鼓勵大家生育 但就目前的公立幼稚園的名額卻是少之又少 入園的資格每年都在改 我自己有3個小孩 前面兩個都非常幸運的進入了公立幼稚園就讀 但今年真正的第三胎卻因為政策一改再改而沒有抽到 無法順利就讀公立幼稚園 導致我沒辦法去工作 沒辦法幫家裡負擔一些費用 小孩學費 生活開銷等等 只靠我老公一個人在苦撐 政府是不是應該要正視這個問題 為什麼不多成立公立的幼稚園 讓那些流浪教師有工作機會 也讓沒有抽到公幼的小朋友也能有幼稚園可以讀
No.15,2017-06-02 16:36:55,臺南市,安平區,chengta,
No.16,2017-06-02 22:38:27,臺北市,中山區,陳,
No.17,2017-06-06 21:22:55,臺中市,南屯區,郭微,"其一、如果國民義務教育向下延伸至3歲，我想這樣如果孩童在三歲未到幼兒園報道，政府便可以主動追查未就學原因，或許可以成為向下延伸對於兒童的保護線，防止兒童失蹤、虐待或死亡的可能。

其二、社會仍有許多家庭無法負擔私立幼兒園高昂的學費，而政府公家立案的公立幼兒園又是報名人數激烈競爭，導致有很多清寒家庭不是被迫籌錢讓孩子進入私托、私幼，或是直接不唸幼兒園，尤其是後者，幼兒園普遍都會為將升小一的孩子進行幼小銜接的相關課程，然而前面講述的後者族群，進入小學體系後難免不適應或跟不上進度。因此將三歲納入義務教育體系中，相等於讓孩子的起跑線利用公權力將其距離縮小。

其三、現今公私立幼兒園學費高低落差極大、收費標準也不同、師資也參差不齊，不僅是公私立幼兒園、私立與私立、公立與公立彼此之間沒有一套共同的標準，程度落差也會影響兒童的受教與玩樂學習權益。"
No.18,2017-06-07 17:25:56,臺北市,大安區,米奇,"國民義務教育向下延伸至3歲
1. 孩童在三歲未到幼兒園報道，政府便可以主動追查未就學原因，或許可以成為向下延伸對於兒童的保護線，防止兒童失蹤、虐待或死亡的可能。
2.政府不斷的在鼓勵大家生育，但就目前的公立幼稚園的名額卻是少之又少，入園的資格每年都在改，教育為治國基本，小孩受教權益需要年齡下修"
No.19,2017-06-13 12:31:53,臺北市,內湖區,誇張,
No.20,2017-06-13 17:02:33,高雄市,前鎮區,水電工,
No.21,2017-06-22 15:01:34,南投縣,草屯鎮,尼爾,
No.22,2017-07-08 16:04:07,彰化縣,彰化市,洪舜凱,
