"編號",附議時間,居住縣市,鄉鎮市區,附議人匿稱,附議原因
No.1,2017-11-18 00:11:30,高雄市,楠梓區,小龍,
No.2,2017-11-18 00:34:07,高雄市,三民區,寒流,
No.3,2017-11-18 01:07:37,彰化縣,鹿港鎮,阿忠,
No.4,2017-11-18 06:50:57,臺中市,東區,森林,
No.5,2017-11-18 08:43:51,苗栗縣,銅鑼鄉,邱小小,
No.6,2017-11-18 08:49:18,臺北市,大安區,啾啾,酒駕害人害己，仿效日本、新加坡加重刑罰，才會有嚇阻效果！
No.7,2017-11-18 09:35:44,新竹市,東區,Jacky,酒駕肇事害人不淺，多年來屢屢造成不少死傷慘劇，附議提高刑責以儆效尤。
No.8,2017-11-18 09:39:04,新北市,樹林區,wavow,支持本提議想法
No.9,2017-11-18 09:39:14,基隆市,中山區,小沈,鞭刑及吊銷駕照跟加重罰金三種一起罰，而且不能緩刑
No.10,2017-11-18 09:45:23,基隆市,中山區,小沈,鞭刑及吊銷駕照跟加重罰金三種一起
No.11,2017-11-18 10:45:20,臺中市,梧棲區,spencer.wu,同意
No.12,2017-11-18 10:52:07,桃園市,中壢區,阿顯,
No.13,2017-11-18 11:17:35,臺南市,北區,addio,
No.14,2017-11-18 12:00:40,彰化縣,員林鎮,任,
No.15,2017-11-18 13:11:39,屏東縣,屏東市,HfC,拒絕酒後駕車
No.16,2017-11-18 13:19:20,桃園市,龜山區,paul,
No.17,2017-11-18 13:31:56,臺中市,南屯區,"Fx ",贊成仿效新加坡鞭刑
No.18,2017-11-18 13:42:11,嘉義縣,番路鄉,陸番,
No.19,2017-11-18 14:20:38,新北市,新莊區,ula,
No.20,2017-11-18 14:50:46,臺中市,南屯區,小夥子,
No.21,2017-11-18 16:07:43,高雄市,苓雅區,阿威,"酒駕會造成太多的傷害，兩個家庭因此破碎

真的應該要加重懲罰，現在的人是明知道不能酒駕，還是抱著僥倖的心態上路。
這種明知不可，但又犯的人，最終造成別人傷害，我們絕不容許!"
No.22,2017-11-18 16:47:30,臺北市,中山區,SuperNicia,
No.23,2017-11-18 16:52:57,臺中市,大里區,光正,
No.24,2017-11-18 17:23:42,臺中市,南屯區,蛋黃酥,
No.25,2017-11-18 17:48:28,宜蘭縣,礁溪鄉,MonkeyLee,
No.26,2017-11-18 18:11:47,臺中市,南區,cake,
No.27,2017-11-18 18:17:43,高雄市,三民區,shanefalco,
No.28,2017-11-18 18:32:52,高雄市,大社區,g4c06,
No.29,2017-11-18 18:43:41,臺中市,清水區,Shi,
No.30,2017-11-18 19:02:09,新竹市,香山區,YBY,
No.31,2017-11-18 19:10:39,高雄市,左營區,莊小清,酒駕應加重其刑責，針對第二次累犯以上或第一次致人傷害或死亡者應不予易科罰金直接判刑並吊扣駕照
No.32,2017-11-18 19:17:41,新北市,蘆洲區,棋,
No.33,2017-11-18 19:18:25,臺南市,麻豆區,真白,台灣的酒駕者太多了，我認為是酒駕罰則不夠重所導致的。
No.34,2017-11-18 19:21:45,新北市,三重區,手手,
No.35,2017-11-18 19:32:55,臺南市,永康區,孤傲的小鬥魚,
No.36,2017-11-18 19:33:14,新北市,樹林區,好想休假,
No.37,2017-11-18 21:32:45,新北市,中和區,飛,支持酒性侵實施鞭刑有效嚇阻
No.38,2017-11-18 21:36:05,臺南市,佳里區,egg,
