"編號",附議時間,居住縣市,鄉鎮市區,附議人匿稱,附議原因
No.1,2018-01-30 09:03:01,臺中市,霧峰區,冰茶,
No.2,2018-01-30 10:54:36,新竹市,東區,淮駿,
No.3,2018-01-30 11:51:51,基隆市,仁愛區,u_ujhj,
No.4,2018-01-31 14:30:25,臺南市,永康區,伶楓,
No.5,2018-01-31 19:35:29,高雄市,小港區,Yu,越有錢的人就是要罰越重，罰越重自然而然可以嚇阻犯罪
No.6,2018-01-31 20:18:11,雲林縣,口湖鄉,白雕,很合理，否則有些人根本不怕。
No.7,2018-01-31 23:22:07,臺中市,神岡區,支持,
No.8,2018-02-01 12:18:03,新北市,三重區,Vagabond,
No.9,2018-02-01 23:07:14,臺中市,大雅區,"Aj ",
No.10,2018-02-02 09:56:02,臺北市,文山區,奪命剪刀腳,
No.11,2018-02-03 07:49:55,臺北市,萬華區,AIR,北歐模式我喜歡。
No.12,2018-02-03 08:47:40,高雄市,湖內區,SMLiou,"同樣罰款為10,000元,對於低薪者而言是大金額,但對於日入上萬元以上而言,根本不在乎,就是因為不在乎所以這處罰對其也就起不了作用
所以應實踐罰款的主要目的,不是增加政府收入,而是要建立一個守法的公民社會,罰款是手段,所以手段一定要達能使受罰者心痛並記得,因此罰款應依不同身份而有不同的處罰"
No.13,2018-02-04 06:20:29,桃園市,新屋區,晧,
No.14,2018-02-04 10:40:04,臺南市,新營區,徐,
No.15,2018-02-05 05:30:51,臺南市,永康區,希伊歐,
No.16,2018-02-05 12:46:07,高雄市,小港區,台灣人民很可憐,
No.17,2018-02-05 12:55:24,新北市,汐止區,NDark,
No.18,2018-02-05 13:25:35,臺中市,后里區,81246,
No.19,2018-02-05 14:29:36,高雄市,楠梓區,zephoenixro,

