"編號",附議時間,居住縣市,鄉鎮市區,附議人匿稱,附議原因
No.1,2018-01-18 10:52:32,桃園市,平鎮區,錯了就要改,公共危險行為比隨機殺人的破壞力還更強大，至少要訂的比謀殺罪更重才合理。
No.2,2018-01-18 11:22:48,新北市,新莊區,TFG,
No.3,2018-01-18 12:03:41,臺北市,士林區,喵咪,
No.4,2018-01-18 14:23:33,臺中市,清水區,cyclouis,如果可以刑法來約束有何不可
No.5,2018-01-18 15:18:55,高雄市,新興區,小山,
No.6,2018-01-18 23:42:49,嘉義縣,太保市,KunKun,
No.7,2018-01-19 17:33:20,臺南市,新營區,otoha,
No.8,2018-01-20 15:01:40,新北市,三重區,Vagabond,
No.9,2018-01-20 17:01:45,彰化縣,伸港鄉,養樂多好苦,
No.10,2018-01-21 15:40:43,臺中市,潭子區,Hank,
No.11,2018-01-22 15:21:49,臺中市,豐原區,葫蘆,
No.12,2018-01-22 16:38:52,苗栗縣,竹南鎮,阿哥哥,
No.13,2018-01-24 10:12:34,高雄市,鼓山區," 阿榮",易危害他人性命的駕駛行為老早就該納入刑法了，一堆用路都像恐怖份子一樣。
No.14,2018-01-24 21:55:22,新北市,板橋區,Sammy,
No.15,2018-01-28 00:08:18,桃園市,八德區,Jei,台灣對於交通刑罰處得太輕了，以至於很多人都一犯再犯，認為反正付罰款就好，或是賭一賭或許不會被抓到的心態來看待，以至於台灣因為車禍等死亡的人數非常高，還有酒駕，無照行駛的人也越來越多，雖說政府一直有在宣導，但是效果並不佳，希望以實質處罰來解決這方面的問題。
No.16,2018-01-29 02:17:33,高雄市,楠梓區,zephoenixro,
No.17,2018-02-06 17:54:16,臺北市,信義區,joyliang,

