"編號",附議時間,居住縣市,鄉鎮市區,附議人匿稱,附議原因
No.1,2018-03-31 08:30:27,高雄市,三民區,oliviachao,
No.2,2018-03-31 14:11:01,新北市,新莊區,lisa,
No.3,2018-03-31 19:02:33,嘉義縣,竹崎鄉,賺,
No.4,2018-03-31 19:44:15,雲林縣,西螺鎮,梨子,
No.5,2018-03-31 20:32:53,新竹市,東區,Alina,
No.6,2018-03-31 21:30:46,宜蘭縣,宜蘭市,正義使者,
No.7,2018-03-31 22:26:37,嘉義縣,竹崎鄉,球球,
No.8,2018-03-31 22:34:34,宜蘭縣,礁溪鄉,證人,假也差太多了吧
No.9,2018-03-31 23:49:46,高雄市,橋頭區,小興,
No.10,2018-04-01 05:57:39,屏東縣,萬丹鄉,柚235,婚喪請假不該有公務員和勞工區分
No.11,2018-04-01 06:01:34,嘉義縣,民雄鄉,連署,要公平對待
No.12,2018-04-01 06:12:59,臺中市,西區,Astriv,
No.13,2018-04-01 07:25:04,宜蘭縣,礁溪鄉,惠惠,
No.14,2018-04-01 11:25:37,宜蘭縣,礁溪鄉,Hugo,支持
No.15,2018-04-01 12:07:25,嘉義縣,中埔鄉,倪,不公平！
No.16,2018-04-01 12:44:48,宜蘭縣,宜蘭市,Jason,
No.17,2018-04-01 16:04:39,嘉義縣,中埔鄉,伸縮自在的愛,
No.18,2018-04-01 21:49:14,嘉義縣,竹崎鄉,期,
No.19,2018-04-02 01:39:12,新北市,五股區,翁廷銓,修正勞動基準法請假規定
No.20,2018-04-02 10:33:17,臺南市,新營區,布魯斯叔叔,
No.21,2018-04-02 13:55:02,新竹縣,新埔鎮,高伯,
No.22,2018-04-02 16:11:06,彰化縣,彰化市,核統,
No.23,2018-04-02 17:31:26,臺中市,豐原區,葫蘆,
No.24,2018-04-03 08:46:30,新北市,中和區,柏青哥,

